amount,transactionType,agentCommission,Float before,Float After ,Commission Before,Commission After,Matching
1000,200 SMS_AIRTEL_VOICE,25.6,,,,,Yes
5000,3DAY_2.2GB_AIRTEL_DATA,128,,,,,No
10000,4G_SMART_CONNECT_WEEKLY_5GB_AIRTEL_DATA,256,,,,,
2000,50_SMS_ZERO_AIRTEL_VOICE,51.2,,,,,
15000,7D_DSTV_ACCESS,129.914085,,,,,
39000,7D_DSTV_COMPACT,337.776621,,,,,
24000,7D_DSTV_FAMILY,207.862536,,,,,
5500,7D_DSTV_LUMBA,47.6351645,,,,,
5000,7D_LITE_GOTV,43.304695,,,,,
18500,7D_MAX_GOTV,160.2273715,,,,,
24000,7D_SUPA_GOTV,207.862536,,,,,
7500,7D_VALUE_GOTV,64.9570425,,,,,
30000,ALL NET VOICE CHILLAX_1300 MINS_AIRTEL_VOICE,768,,,,,
10000,ALL NET VOICE CHILLAX_200 MINS_AIRTEL_VOICE,256,,,,,
50000,ALL NET VOICE CHILLAX_2500 MINS_50K_AIRTEL_VOICE,1280,,,,,
75000,ALL NET VOICE CHILLAX_4500 MINS_75K_AIRTEL_VOICE,1920,,,,,
5000,ALL NET VOICE CHILLAX_90 MINS_AIRTEL_VOICE,128,,,,,
1000,BOONA DAILY_1000_AIRTEL_VOICE,25.6,,,,,
2000,BOONA DAILY_2000_AIRTEL_VOICE,51.2,,,,,
20000,BOONA MONTHLY_20000_AIRTEL_VOICE,512,,,,,
30000,BOONA MONTHLY_30000_AIRTEL_VOICE,768,,,,,
2500,BOONA WEEKLY_2500_AIRTEL_VOICE,64,,,,,
5000,BOONA WEEKLY_5000_AIRTEL_VOICE,128,,,,,
5000,CHILLAX 1.3GB_AIRTEL_DATA,128,,,,,
1000,CHILLAX 100MB_AIRTEL_DATA,25.6,,,,,
50000,CHILLAX 17GB_AIRTEL_DATA,1280,,,,,
7500,CHILLAX 2GB_AIRTEL_DATA,192,,,,,
16000,CHILLAX 5GB_AIRTEL_DATA,409.6,,,,,
25000,CHILLAX 8GB_AIRTEL_DATA,640,,,,,
2000,DAILY 2000_1_AIRTEL_VOICE,51.2,,,,,
3000,DAILY_1.5GB_AIRTEL_DATA,76.8,,,,,
1000,DAILY_180MB_AIRTEL_DATA,25.6,,,,,
2000,DAILY_1GB_LYCA_DATA,55.92,,,,,
750,DAILY_250MB_LYCA_DATA,20.97,,,,,
250,DAILY_30MB_AIRTEL_DATA,6.4,,,,,
1000,DAILY_400MB_LYCA_DATA,27.96,,,,,
2000,DAILY_500MB_TV_PHONE_AIRTEL_DATA,51.2,,,,,
500,DAILY_70MB_PHONE_AIRTEL_DATA,12.8,,,,,
2000,DAILY_750MB_PHONE_AIRTEL_DATA,51.2,,,,,
3000,ILD_EAF_10_AIRTEL_VOICE,76.8,,,,,
25000,ILD_EAF_95_AIRTEL_VOICE,640,,,,,
3000,ILD_EUR_10_AIRTEL_VOICE,76.8,,,,,
2000,ILD_USA_10_AIRTEL_VOICE,51.2,,,,,
500,KAWA COMBO_500_AIRTEL_VOICE,12.8,,,,,
10000,"MONTHLY 10,000-600 MINS_AIRTEL_VOICE",256,,,,,
30000,"MONTHLY 30,000- 2000 MINS_AIRTEL_VOICE",768,,,,,
5000,MONTHLY_1.5GB_LYCA_DATA,139.8,,,,,
100000,MONTHLY_100GB_LYCA_DATA,2796,,,,,
15000,MONTHLY_10GB_LYCA_DATA,419.4,,,,,
30000,MONTHLY_12.5GB_AIRTEL_DATA,768,,,,,
20000,MONTHLY_20GB_LYCA_DATA,559.2,,,,,
50000,MONTHLY_22GB_AIRTEL_DATA,1280,,,,,
30000,MONTHLY_25GB_LYCA_DATA,838.8,,,,,
10000,MONTHLY_3.5GB_AIRTEL_DATA,256,,,,,
10000,MONTHLY_4GB_LYCA_DATA,279.6,,,,,
50000,MONTHLY_50GB_LYCA_DATA,1398,,,,,
5000,NACT_UG_Data_675,148.2198,,,,,
15000,NACT_UG_Data_676,444.6594,,,,,
50000,NACT_UG_Data_677,1482.198,,,,,
100000,NACT_UG_Data_678,2964.396,,,,,
25000,NACT_UG_Data_679,741.099,,,,,
1000,200MTNSMSAWEEK_MTN_DATA,29.64396,,,,,
600,100MTNSMSADAY_MTN_DATA,17.786376,,,,,
30000,1250MINS_MTN_VOICE,889.3188,,,,,
50000,2700MINS_MTN_VOICE,1482.198,,,,,
7500,NEW_WEEKLY SUPA COMBO_AIRTEL_DATA,192,,,,,
2000,NIGHT_2GB_PHONE_AIRTEL_DATA,51.2,,,,,
300,PAKA_NIGHT_AIRTEL_VOICE,7.68,,,,,
1000,PAKALAST COMBO_1000_AIRTEL_VOICE,25.6,,,,,
500,80MB_DAILY_MTN_DATA,14.82198,,,,,
1000,180MB_DAILY_MTN_DATA,29.64396,,,,,
